MSN,YYYYMM,Value,Column_Order,Description,Unit
"""ELETPUS""","""198308""",230193.46,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198309""",195817.014,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198310""",183136.711,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198311""",183170.681,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198312""",212555.333,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198401""",216923.729,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198402""",189810.043,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198403""",200387.475,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198404""",181381.139,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198405""",192550.198,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198406""",209967.314,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198407""",221526.162,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198408""",229531.666,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198409""",195411.388,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198410""",191142.43,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198411""",190601.865,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198412""",200231.958,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198501""",228147.888,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198502""",198488.497,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198503""",195250.388,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198504""",185173.312,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198505""",197122.843,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198506""",205681.971,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198507""",227003.762,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198508""",226286.447,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198509""",202712.422,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198510""",194995.217,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198511""",192648.952,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198512""",219490.423,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198601""",217761.136,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198602""",192582.016,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198603""",197114.555,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198604""",186370.454,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198605""",197647.498,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198606""",215334.156,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198607""",242953.552,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198608""",225402.481,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198609""",206905.101,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198610""",197959.776,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198611""",196653.686,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198612""",213786.542,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198701""",223040.975,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198702""",194280.625,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198703""",202129.944,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198704""",189792.417,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198705""",206406.878,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198706""",225907.915,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198707""",248196.221,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198708""",247880.76,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198709""",213221.249,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198710""",203214.924,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198711""",200479.386,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198712""",220736.372,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198801""",238188.434,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198802""",217183.084,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198803""",214293.615,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198804""",196297.111,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198805""",208703.604,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198806""",233065.853,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198807""",257742.125,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198808""",267928.593,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198809""",220392.242,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198810""",210813.885,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198811""",209814.992,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198812""",232987.639,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198901""",246766.176,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198902""",233782.777,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198903""",241946.41,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198904""",222868.586,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198905""",234824.77,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198906""",250919.11,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198907""",273457.735,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198908""",275419.519,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198909""",242793.798,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198910""",235669.018,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198911""",234249.81,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
