COAL,NATURALGAS,ELECTRICITY,PETRO_INDUSTRIAL,PETRO_RESIDENTIAL_COMMERCIAL,PETRO_TRANSPORTATION_ELECTRICPOWER,CO2
79799.744,1763.28,267136.408,4723.013,356.725,467.30699999999996,446.07300000000004
87863.131,2178.028,297986.18100000004,4781.055,438.741,539.2669999999999,501.675
91238.539,2553.096,315813.69,4681.312,527.918,681.704,524.8530000000001
78967.232,2142.8089999999997,274820.273,4560.984,528.9590000000001,597.1659999999999,459.241
82646.818,2208.633,298144.718,4874.893,460.275,578.78,494.24199999999996
78636.50099999999,1855.922,280719.01300000004,4853.758,340.30400000000003,519.268,454.026
82204.37599999999,1584.757,300098.19,4588.119000000001,285.818,515.0,447.412
88323.05,1530.2939999999999,328923.833,5353.59,271.355,610.386,458.286
99880.33300000001,1686.365,376538.30799999996,5183.372,254.34099999999998,859.5930000000001,494.981
96862.51800000001,1724.3210000000001,364031.383,5514.134,267.788,711.312,494.86300000000006
87128.81599999999,1530.672,305515.654,5573.983,273.41900000000004,455.918,449.583
83773.023,1629.38,283934.839,5344.566,336.49300000000005,368.765,460.652
81134.295,1733.1129999999998,271095.672,4834.073,387.722,271.673,449.93
87851.04199999999,2225.788,295174.23699999996,5025.4490000000005,470.48800000000006,245.701,512.191
97043.237,2532.4429999999998,327993.94399999996,4756.524,565.444,434.978,531.996
88029.479,2340.654,294169.282,4855.986,537.5269999999999,314.613,497.86699999999996
86379.33,2085.459,301579.821,4816.542,444.92199999999997,256.692,489.022
78212.149,1827.336,285577.749,4481.208,373.51199999999994,279.527,448.671
85275.29800000001,1736.144,322953.68100000004,5123.223,327.467,476.76199999999994,472.11300000000006
92577.183,1615.904,339053.66,5262.84,296.55,620.126,475.439
96419.55099999999,1671.158,356527.917,4999.228,283.661,559.862,489.537
99791.091,1813.2620000000002,368669.365,5299.999,346.469,704.068,512.148
89049.41900000001,1563.151,312446.647,5278.84,339.392,621.17,464.588
88309.091,1610.0539999999999,289451.903,4956.165,384.06199999999995,452.855,471.152
87678.80900000001,1928.879,284670.275,4431.754,464.99,416.285,478.527
95330.237,2608.675,319010.798,4571.302,617.068,910.5060000000001,557.534
96896.58300000001,2676.998,332493.16,4696.791,622.259,998.732,555.881
83772.227,2309.464,282940.19800000003,4585.965999999999,564.3919999999999,610.0409999999999,485.087
86499.18800000001,2246.633,300706.544,4717.282,499.32300000000004,622.568,509.527
78371.593,1807.17,278078.87100000004,4921.032999999999,397.82,605.492,458.454
84604.868,1522.382,300491.62100000004,4867.045999999999,311.741,549.702,460.05800000000005
90024.609,1444.378,327693.978,4900.166,305.115,657.784,458.037
99156.536,1598.0710000000001,357613.7,4945.236,311.903,578.981,493.327
101105.371,1669.1779999999999,370532.828,5200.7390000000005,306.341,765.049,502.689
86705.07199999999,1494.128,306928.86600000004,5028.858,301.527,396.082,445.211
83511.233,1649.0729999999999,294733.613,5332.734,360.42699999999996,332.64300000000003,462.56699999999995
81013.457,1700.95,278933.942,4979.857,408.962,315.829,451.85400000000004
88484.795,2120.198,305496.328,4505.865,495.355,332.245,495.103
90003.707,2487.638,319941.472,4889.8859999999995,523.063,352.10900000000004,521.274
79568.765,2242.427,281825.708,4721.682,492.026,329.30800000000005,464.825
83394.61099999999,2258.431,302549.007,4799.418,434.463,436.461,497.85
78688.328,1880.985,289848.252,4825.8009999999995,329.603,424.85699999999997,460.19800000000004
83658.24,1611.453,307674.56899999996,4980.965,303.046,429.195,461.12300000000005
90613.311,1591.3729999999998,341023.145,5082.495,272.967,442.09,466.889
99977.291,1748.435,381542.109,5243.196999999999,273.54,533.814,502.602
99012.33300000001,1725.7120000000002,374585.823,5252.465999999999,280.375,533.6759999999999,500.483
