"COAL, Thousand Short Tons","NATURALGAS, Billion Cubic Feet","ELECTRICITY, Million Kilowatthours","PETRO_INDUSTRIAL, Thousand Barrels per Day","PETRO_COMMERCIAL, Thousand Barrels per Day","PETRO_RESIDENTIAL, Thousand Barrels per Day","PETRO_TRANSPORTATION, Thousand Barrels per Day","PETRO_ELECTRICPOWER, Thousand Barrels per Day","CO2, Million Metric Tons"
-0.42966616932970775,-1.4774792363611131,-0.9697337847961398,-0.9188781444775231,-0.8444565330960162,-0.9701914306355813,-1.445169038922618,0.1655728626065098,-1.601023578797244
-0.8253881329263544,-1.5001814974881351,-1.3190693085896452,-1.2622974737725192,-0.01544030523281299,-0.43469246259549427,-1.4344559356958275,0.03902686197800309,-1.985944592130947
-0.9244411802037853,-1.153550903568214,-1.4266362513134705,-1.202745533514437,-0.0016959152656934394,-0.28597332714908835,-1.5562315512877636,-0.037906412952406814,-1.790164753978833
-0.8197592769103694,-0.644186402048058,-1.4206803425519616,-1.5179477094683926,-0.2596947348442632,-0.2706655609497555,-1.3606552349779668,-0.06487282225758804,-1.4778237571460597
-0.6227134930749134,-0.2784000734493242,-1.2620577900053767,-1.6399915013168744,0.9497588206884785,0.5482458313564345,-1.430566002873111,0.10907201177600898,-0.8869827527692878
-0.45934176339647426,0.6905836386386753,-1.1096672474885747,-2.4929683392763744,1.5762866807366678,0.6831743347766132,-1.7808366713252741,0.2946434045869107,-0.4298662796311206
-0.9443323599931222,-0.06471011486005462,-1.4328790836416,-2.3272198641038693,1.2317852609619668,0.45227357006799346,-1.725884030185899,0.4116545501012898,-1.463008204419156
-0.9011595457787464,-0.2610002470868386,-1.2926286323395257,-2.3058739237747714,1.0711315449892913,0.21743060865530478,-1.2003979797587379,0.24657149822089708,-1.018420183655241
-1.0536520669166551,-0.7726862227414869,-1.4615939786126892,-2.5022527205851275,0.7271419124801596,-0.06199728027864268,-1.4627983784484146,0.04164666904128961,-1.7107639160722135
-0.9655686309834968,-1.3154558591028338,-1.4049558363035115,-2.0423289662418664,-0.2679571972966658,-0.7335373167991853,-1.374936972104493,-0.13796854581387136,-1.9314185005376683
-0.7378646468336427,-1.650699591766761,-1.1725572011424457,-1.6421884051966666,-0.16362118516622934,-0.806512646598555,-1.1131747395514968,0.14356441228117678,-1.908162940314698
