MSN,YYYYMM,Value,Column_Order,Description,Total,Unit
"""CLTCPUS""","""199004""",68396.59,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""199005""",69683.12,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""199006""",75714.409,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""199007""",82114.088,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""199008""",83806.284,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""199009""",77368.112,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""199010""",75716.732,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""199011""",72438.484,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""199012""",80083.601,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""199101""",82810.979,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""199102""",69163.308,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""199103""",70078.844,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""199104""",65017.029,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""199105""",70901.257,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""199106""",75581.345,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""199107""",82301.26,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""199108""",82276.459,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""199109""",74643.435,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""199110""",72948.511,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""199111""",75197.695,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""199112""",78306.681,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""199201""",79495.144,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""199202""",71012.597,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""199203""",73820.015,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""199204""",68950.957,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""199205""",70614.019,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""199206""",74056.109,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""199207""",84516.155,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""199208""",81115.988,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""199209""",76176.47,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""199210""",73631.888,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""199211""",73551.673,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""199212""",80713.784,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""199301""",80663.12,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""199302""",74794.963,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""199303""",78172.646,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""199304""",70048.053,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""199305""",70336.817,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""199306""",78621.11,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""199307""",89450.433,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""199308""",88607.984,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""199309""",76788.272,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""199310""",76082.939,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""199311""",76934.941,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""199312""",83580.006,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""199401""",88402.068,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""199402""",76903.91,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""199403""",77654.016,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""199404""",70555.787,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""199405""",73719.808,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""199406""",83932.669,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""199407""",87617.708,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""199408""",86743.143,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""199409""",77099.295,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
